Test Name,Test Link,Remote Testing,Adaptive/IRT,Test Type,Description,Job Levels,Assessment Length,Tags
Branch Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/branch-manager-short-form/,Yes,,ABP,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 50,"['branch manager', 'financial institution', 'management potential', 'management judgment', 'leadership potential', 'team management', 'branch manager problem solving', 'business leadership', 'leadership motivation', 'interpersonal leadership', 'self leadership', 'branch manager judgment', 'multiple choice', 'mid-level', 'upper-level', 'banking']"
Cashier Solution,https://www.shl.com/solutions/products/product-catalog/view/cashier-solution/,Yes,Yes,BAP,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.","Entry-Level,",Approximate Completion Time in minutes = 28,"['cashier', 'sales associate', 'clerk', 'retail', 'entry-level', 'customer service', 'payment processing', 'cash handling', 'credit card processing', 'check processing', 'receipts', 'refunds']"
Global Skills Development Report,https://www.shl.com/solutions/products/product-catalog/view/global-skills-development-report/,Yes,,AEBCDP,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.","Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",,"['self-assessment', 'skills development', 'Great 8 Domains', 'self-reported behaviors', 'actionable tips', 'skill strengths', 'growth skills', 'report', 'individual feedback', 'self-awareness']"
.NET Framework 4.5,https://www.shl.com/solutions/products/product-catalog/view/net-framework-4-5/,Yes,Yes,K,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,",Approximate Completion Time in minutes = 30,"['.NET Framework 4.5', '.NET', 'Application Development', 'Application Foundation', 'Data Modeling', 'Deployment', 'Diagnostics', 'Performance', 'Portability', 'Security', 'Experienced Users']"
.NET MVC (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvc-new/,Yes,,K,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 17,"['.NET', 'MVC', 'Model-View-Controller', 'Architecture', 'Validation', 'Security', 'Routing', 'Areas', 'C#', 'Multi-choice question', 'Software Development']"
.NET MVVM (New),https://www.shl.com/solutions/products/product-catalog/view/net-mvvm-new/,Yes,,K,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 5,"['.NET', 'MVVM', 'Model-View-ViewModel', 'Data Validation', 'ViewModel Communication', 'C#', 'Software Architecture', 'Design Patterns', 'Multi-Choice Questions']"
.NET WCF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wcf-new/,Yes,,K,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,"['.NET', 'WCF', 'Windows Communication Foundation', 'SOA', 'Service-Oriented Architecture', 'Multi-choice', 'Fundamentals', 'Architecture', 'Programming Model', 'WCF Programming', 'WCF Management']"
.NET WPF (New),https://www.shl.com/solutions/products/product-catalog/view/net-wpf-new/,Yes,,K,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['.NET', 'WPF', 'XAML', 'C#', 'Desktop application development', 'Windows Forms', 'UI development', 'Multi-choice', 'Fundamentals', 'Deployment']"
.NET XAML (New),https://www.shl.com/solutions/products/product-catalog/view/net-xaml-new/,Yes,,K,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 5,"['.NET', 'XAML', 'Multi-choice', 'Triggers', 'Data Binding', 'Custom Controls', 'Layouts', 'Software Development']"
Accounts Payable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-new/,Yes,,K,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['accounts payable', 'vendor invoices', 'journal entries', 'multiple-choice', 'accounting', 'finance', 'bookkeeping']"
Accounts Payable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-payable-simulation-new/,Yes,,S,Simulated data entry test that measures the ability to process payables and vendor invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['Accounts Payable', 'Data Entry', 'Invoice Processing', 'Vendor Invoices', 'Simulation', 'Accounting', 'Finance', 'Accuracy', 'Efficiency']"
Accounts Receivable (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-new/,Yes,,K,Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,"['accounts receivable', 'invoice processing', 'financial accounting', 'multiple-choice', 'accounting', 'finance']"
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,,S,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 8,"['Accounts Receivable', 'Data Entry', 'Invoice Processing', 'Simulation', 'Accounting', 'Finance']"
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,Yes,,K,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['ADO.NET', 'Data Access', 'Microsoft Technologies', 'Multi-choice', 'Software Development', 'Database Connectivity', 'Data Provider', 'Architecture', 'Components']"
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,Yes,,K,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 17,"['Adobe Experience Manager', 'AEM', 'AEM Components', 'AEM Templates', 'AEM Workflows', 'AEM Collections', 'OSGi Services', 'AEM Troubleshooting', 'Multi-choice', 'Software Engineer', 'Web Development', 'Content Management System']"
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,K,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 20,"['Adobe Photoshop CC', 'Image Editing', 'Graphic Design', '3D', 'Color Correction', 'File Management', 'User Interface', 'Layers', 'Painting', 'Drawing', 'Retouching', 'Image Enhancement', 'Selection Tools', 'Text Tools', 'Web Design', 'Experienced Users']"
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,Yes,,K,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Aeronautical Engineering', 'Flight Mechanics', 'Space Dynamics', 'Aerodynamics', 'Structures', 'Propulsion', 'Multiple Choice', 'Engineering']"
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,Yes,,K,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 10,"['Aerospace Engineering', 'Aerodynamics', 'Aircraft Systems', 'Instrumentation', 'Flight Dynamics', 'Space Dynamics', 'Avionics', 'Conceptual Knowledge', 'Multiple Choice', 'Engineering']"
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,Yes,,K,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","Graduate,",Approximate Completion Time in minutes = 7 minutes,"['Agile Methodology', 'Scrum', 'Feature Driven Development', 'Incremental Development', 'Iterative Development', 'Agile Processes', 'Software Development', 'Multi-choice', 'Knowledge Assessment']"
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,Yes,,K,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 13,"['Agile Testing', 'Agile Methodology', 'Testing Techniques', 'Testing Tools', 'Testing Processes', 'Multi-choice', 'Knowledge Assessment']"
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,Yes,,P,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"General Population,",Approximate Completion Time in minutes = 16,"['Artificial Intelligence', 'AI Skills', 'AI Literacy', 'AI Proficiency', 'AI Application', 'Technology Adoption', 'Digital Skills', 'Emerging Technologies']"
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,,K,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 6,"['AWS', 'Amazon Web Services', 'Cloud Computing', 'Delivery Process', 'Monitoring', 'Metrics', 'Logging', 'Security', 'Scalability', 'Validation', 'Multi-choice', 'Technical Knowledge', 'Cloud Development']"
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,Yes,,K,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,"['Android Development', 'UI Components', 'Services and Alerts', 'Animation', 'Media Apps', 'Application Components', 'Security', 'Testing', 'Mobile Development', 'Multi-Choice', 'Beginner']"
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,Yes,,K,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 11,"['Angular 6', 'Angular', 'front-end development', 'TypeScript', 'data binding', 'dependency injection', 'CRUD', 'HTTP', 'routing', 'navigation', 'multi-choice', 'software engineering']"
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,Yes,,K,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 9,"['AngularJS', 'JavaScript', 'Frontend Development', 'Multi-choice Questions', 'Architecture', 'Forms', 'Directives', 'Filters', 'Controllers', 'Routing', 'Testing', 'Software Engineer', 'Junior Developer', 'Mid-level Developer']"
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,Yes,,K,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","Mid-Professional, Professional Individual Contributor,",Approximate Completion Time in minutes = 7,"['Apache Hadoop', 'Hadoop', 'HDFS', 'MapReduce', 'Big Data', 'Data Engineering', 'Multi-choice', 'Basic Concepts']"
Claims/Operations Supervisor Solution,https://www.shl.com/solutions/products/product-catalog/view/claimsoperations-supervisor-solution/,Yes,Yes,PSAB,"The Claims/Operations Supervisor solution is for entry-level management positions that involve supervising hourly employees.  Sample tasks for this job include, but are not limited to: planning and preapring work schedules; assigning employees to specific dutites; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; making day-to-day decisions with minimal guidance from others.  Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor, Claims Supervisor, Operations Supervisor, and Customer Service Supervisor.  Multiple configurations of this solution are available.","Manager,",Approximate Completion Time in minutes = 48,"['entry-level management', 'supervisory skills', 'team leadership', 'employee coaching', 'workforce management', 'scheduling', 'task prioritization', 'decision-making', 'training', 'first line supervisor', 'claims supervisor', 'operations supervisor', 'customer service supervisor', 'team leader', 'coach', 'hourly employees']"
Contact Center Customer Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0/,Yes,,ABCPS,"The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Entry-Level,",Approximate Completion Time in minutes = 41,"['Customer Service', 'Contact Center', 'Entry-Level', 'Mobile-Optimized', 'Simulation', 'Behavioral Assessment', 'Cognitive Test', 'Customer Service Skills', 'Customer Service Competencies', 'Customer Service Behaviors']"
Contact Center Customer Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-customer-service-8-0-4269/,Yes,,SBCP,The Customer Service 8.0 JFA is designed for entry-level positions in a contact center environment where the main focus is customer service.,"Entry-Level,",Approximate Completion Time in minutes = 31,"['Customer Service', 'Contact Center', 'Entry-Level', 'Customer Support', 'Help Desk', 'Call Center']"
Contact Center Manager - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-manager-short-form/,Yes,Yes,ABPS,"The Contact Center - Manager solution is for mid to upper-level contact center managerial positions. Sample
tasks for these jobs include, but are not limited to: supervising and coordinating the activities of subordinates;
interacting day-to-day with subordinates; and training employees. Potential job titles that use this solution are:
Contact Center Team Leader, First Line Supervisor, and Contact Center Manager.","Manager, Supervisor, Front Line Manager,",Approximate Completion Time in minutes = 50,"['Contact Center Management', 'Team Leadership', 'Supervision', 'Employee Training', 'Performance Management', 'Mid-Level', 'Upper-Level', 'Short Form']"
Contact Center Sales & Service + 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0/,Yes,,PBCAS,"The Contact Center + 8.0 - Sales & Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles that involve sales-related behaviors such as recommending products or services and retaining customers. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service and drive sales in entry-level contact center roles.","Entry-Level,",Approximate Completion Time in minutes = 41,"['Contact Center', 'Customer Service', 'Sales', 'Sales & Service', 'Entry-Level', 'Mobile-Optimized', 'Simulation', 'Behavioral Assessment', 'Cognitive Test', 'Product Recommendation', 'Customer Retention', 'Job Focused Assessment']"
Contact Center Sales & Service 8.0,https://www.shl.com/solutions/products/product-catalog/view/contact-center-sales-and-service-8-0-4268/,Yes,,SBCP,The Sales & Service 8.0 JFA is designed for contact center roles that involve sales or sales-related behaviors such as recommending products or services and retaining customers.,"Entry-Level,",Approximate Completion Time in minutes = 31,"['Contact Center', 'Sales', 'Service', 'Customer Retention', 'Product Recommendation', 'Service Recommendation', 'Sales-related Behaviors', 'Customer Service', 'Customer Support']"
Contact Center Team Lead/Coach - Short Form,https://www.shl.com/solutions/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Yes,Yes,ABPS,"The Contact Center - Team Lead/Coach solution is for job candidates applying to entry-level leadership
positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited
to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on
attendance, conduct, schedule adherence, and work tasks; developing employees' skills; training subordinates
or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal
guidance from others. Potential job titles that use this solution are: Team Leader, Coach, First Line Supervisor,
Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor.","Front Line Manager, Professional Individual Contributor, Supervisor,",Approximate Completion Time in minutes = 45,"['Team Lead', 'Coach', 'Contact Center', 'Customer Service', 'First Line Supervisor', 'Supervisory Skills', 'Employee Coaching', 'Employee Training', 'Work Scheduling', 'Task Prioritization', 'Decision Making', 'Leadership', 'Entry-Level', 'Hourly Employees', 'Schedule Adherence', 'Conduct', 'Short Form']"
Contact Centre Agent Solution - UK,https://www.shl.com/solutions/products/product-catalog/view/contact-centre-agent-solution-uk/,Yes,,ABPS,"This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Entry-Level,",Approximate Completion Time in minutes = 39,"['contact centre', 'customer service', 'entry-level', 'multiple choice questions', 'customer call simulation', 'working with information', 'customer focus', 'contact centre retention', 'navigation', 'service orientation', 'tactful problem solving', 'data entry speed', 'data entry accuracy', 'multi-tasking', 'achievement orientation', 'conscientiousness', 'UK', 'job simulation']"
Customer Service - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form/,Yes,Yes,ABP,"The Customer Service Representative Solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,",Approximate Completion Time in minutes = 42,"['Customer Service', 'Customer Service Representative', 'Entry-Level', 'Communication Skills', 'Problem Solving', 'Customer Interaction', 'Phone Support', 'In-Person Support', 'Order Taking', 'Issue Resolution', 'Complaint Handling', 'Account Service Representative', 'Customer Service Agent', 'Short Form']"
Customer Service - Short Form - UK,https://www.shl.com/solutions/products/product-catalog/view/customer-service-short-form-uk/,Yes,Yes,ABP,"The Customer Service Representative solution is for entry-level positions that involve
a high degree of interaction with customers in person or on the phone. Sample tasks
for this job include, but are not limited to: taking orders; solving product or service
issues; responding positively to difficult customers; referring unresolved issues to the
appropriate individuals; providing information on products and/or services. Potential
job titles that use this solution are: Account Service Representative, Account
Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,",Approximate Completion Time in minutes = 42,"['Customer Service', 'Customer Interaction', 'Entry-Level', 'Communication Skills', 'Problem Solving', 'Issue Resolution', 'Phone Support', 'In-Person Support', 'Order Taking', 'Product Information', 'Service Information', 'Account Service Representative', 'Account Representative', 'Customer Service Representative', 'Customer Service Agent', 'UK Context']"
Customer Service with Sales - Short Form,https://www.shl.com/solutions/products/product-catalog/view/customer-service-with-sales-short-form/,Yes,Yes,ABP,"The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","Entry-Level,",Approximate Completion Time in minutes = 44,"['Customer Service', 'Sales', 'Entry-Level', 'Order Taking', 'Problem Solving', 'Product Support', 'Service Support', 'Up-selling', 'Cross-selling', 'Customer Communication', 'Account Management', 'Account Service Representative', 'Customer Service Representative', 'Sales Representative', 'Customer Issue Resolution', 'Product Information', 'Service Information']"
Director - Short Form,https://www.shl.com/solutions/products/product-catalog/view/director-short-form/,Yes,Yes,ABP,"The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.","Director,",Approximate Completion Time in minutes = 69,"['Director', 'Senior Level', 'Management', 'Leadership', 'Strategic Planning', 'Operations Management', 'Policy Formulation', 'Resource Management', 'Human Resources', 'Business Operations', 'Planning', 'Directing', 'Coordinating', 'Short Form']"
